App,TestClass,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Dead Fields,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Lack of Cohesion,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
commons-lang,NotImplementedExceptionTest.java,/home/ubuntu/experiments/projects/commons-lang/src/test/java/org/apache/commons/lang3/NotImplementedExceptionTest.java,/home/ubuntu/experiments/projects/commons-lang/src/main/java/org/apache/commons/lang3/NotImplementedException.java,src/test/java/org/apache/commons/lang3/NotImplementedExceptionTest.java,src/main/java/org/apache/commons/lang3/NotImplementedException.java,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false
commons-lang,RegExUtilsTest.java,/home/ubuntu/experiments/projects/commons-lang/src/test/java/org/apache/commons/lang3/RegExUtilsTest.java,/home/ubuntu/experiments/projects/commons-lang/src/main/java/org/apache/commons/lang3/RegExUtils.java,src/test/java/org/apache/commons/lang3/RegExUtilsTest.java,src/main/java/org/apache/commons/lang3/RegExUtils.java,true,false,false,false,false,false,true,false,true,false,false,false,true,false,false,true,true,false,false,false,false,false,false
commons-lang,ValidateTest.java,/home/ubuntu/experiments/projects/commons-lang/src/test/java/org/apache/commons/lang3/ValidateTest.java,/home/ubuntu/experiments/projects/commons-lang/src/main/java/org/apache/commons/lang3/Validate.java,src/test/java/org/apache/commons/lang3/ValidateTest.java,src/main/java/org/apache/commons/lang3/Validate.java,true,false,false,false,false,false,true,false,true,false,false,false,true,false,false,true,true,true,true,false,false,true,false
commons-lang,ArchUtilsTest.java,/home/ubuntu/experiments/projects/commons-lang/src/test/java/org/apache/commons/lang3/ArchUtilsTest.java,/home/ubuntu/experiments/projects/commons-lang/src/main/java/org/apache/commons/lang3/ArchUtils.java,src/test/java/org/apache/commons/lang3/ArchUtilsTest.java,src/main/java/org/apache/commons/lang3/ArchUtils.java,true,false,false,false,false,false,true,false,true,false,false,false,true,false,false,true,true,true,true,false,false,true,false
commons-lang,SystemUtilsTest.java,/home/ubuntu/experiments/projects/commons-lang/src/test/java/org/apache/commons/lang3/SystemUtilsTest.java,/home/ubuntu/experiments/projects/commons-lang/src/main/java/org/apache/commons/lang3/SystemUtils.java,src/test/java/org/apache/commons/lang3/SystemUtilsTest.java,src/main/java/org/apache/commons/lang3/SystemUtils.java,true,true,false,false,false,false,true,false,true,true,true,false,true,true,false,true,true,true,true,false,false,true,false
commons-lang,EnumUtilsTest.java,/home/ubuntu/experiments/projects/commons-lang/src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,/home/ubuntu/experiments/projects/commons-lang/src/main/java/org/apache/commons/lang3/EnumUtils.java,src/test/java/org/apache/commons/lang3/EnumUtilsTest.java,src/main/java/org/apache/commons/lang3/EnumUtils.java,true,true,false,false,false,false,true,false,true,true,true,false,true,true,false,true,true,true,true,false,false,true,false
commons-lang,BooleanUtilsTest.java,/home/ubuntu/experiments/projects/commons-lang/src/test/java/org/apache/commons/lang3/BooleanUtilsTest.java,/home/ubuntu/experiments/projects/commons-lang/src/main/java/org/apache/commons/lang3/BooleanUtils.java,src/test/java/org/apache/commons/lang3/BooleanUtilsTest.java,src/main/java/org/apache/commons/lang3/BooleanUtils.java,true,true,false,false,false,false,true,false,true,true,true,false,true,true,false,true,true,true,true,false,false,true,false
commons-lang,RandomUtilsTest.java,/home/ubuntu/experiments/projects/commons-lang/src/test/java/org/apache/commons/lang3/RandomUtilsTest.java,/home/ubuntu/experiments/projects/commons-lang/src/main/java/org/apache/commons/lang3/RandomUtils.java,src/test/java/org/apache/commons/lang3/RandomUtilsTest.java,src/main/java/org/apache/commons/lang3/RandomUtils.java,true,true,false,false,false,false,true,false,true,true,true,false,true,true,false,true,true,true,true,false,false,true,false
commons-lang,ArrayUtilsTest.java,/home/ubuntu/experiments/projects/commons-lang/src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,/home/ubuntu/experiments/projects/commons-lang/src/main/java/org/apache/commons/lang3/ArrayUtils.java,src/test/java/org/apache/commons/lang3/ArrayUtilsTest.java,src/main/java/org/apache/commons/lang3/ArrayUtils.java,true,true,false,false,false,false,true,false,true,true,true,false,true,true,false,true,true,true,true,false,false,true,false
commons-lang,CharSetTest.java,/home/ubuntu/experiments/projects/commons-lang/src/test/java/org/apache/commons/lang3/CharSetTest.java,/home/ubuntu/experiments/projects/commons-lang/src/main/java/org/apache/commons/lang3/CharSet.java,src/test/java/org/apache/commons/lang3/CharSetTest.java,src/main/java/org/apache/commons/lang3/CharSet.java,true,true,false,false,false,false,true,false,true,true,true,true,true,true,false,true,true,true,true,false,false,true,false
